ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_earthquake_impact_wlb,earthquake_imp_1,earthquake_imp_2,earthquake_imp_3,earthquake_imp_4,earthquake_imp_5,ext_earthquake_cope,ext_earthquake_likely_repeat,ext_earthquake_affect,ext_earthquake_lkly_normal_business,ext_earthquake_lkly_stay_home,ext_earthquake_lkly_seek_shelter,ext_earthquake_lkly_social_connection,ext_earthquake_lkly_leave_town,ext_earthquake_lkly_supplies,ext_earthquake_lkly_follow_officials,ext_earthquake_lkly_comm_supports,ext_earthquake_wfh,ext_earthquake_car_travel,ext_earthquake_walk_bike_mode,ext_earthquake_transit_use,ext_earthquake_stay_home,ext_earthquake_stay_family_friends,ext_earthquake_check_family_friends,ext_earthquake_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1007,42,4,0.410159583,0,29006,0,1,0,1,1,0,0,0,0,3,2,1,5,3,1,1,1,3,3,1,2,2,2,2,2,4,3,4,-0.138619524,-0.04440612,0.252712108,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1022,5,2,0.00596632,0,95404,1,0,0,2,0,1,0,0,0,2,5,3,4,4,3,5,4,5,4,5,3,1,3,1,3,2,2,2,0.171707213,0.899933959,0.588666072,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1023,5,2,0.327563225,0,90017,1,0,0,1,1,0,0,0,0,2,5,5,5,1,1,1,1,4,3,3,2,2,2,2,2,4,3,4,-1.361935363,-0.067415712,1.151663573,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1036,49,4,0.061059046,0,98042,0,1,0,1,1,0,0,0,0,1,5,2,4,3,1,1,1,3,5,3,2,2,2,2,2,4,3,3,0.676311125,-0.34666752,0.935574127,0,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1038,49,4,0.013876774,0,98110,0,1,0,1,1,0,0,0,0,1,5,2,4,2,1,1,1,1,1,1,2,2,2,2,2,4,4,4,-1.233911288,-0.754947919,-0.573810598,0,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1039,49,4,0.009346843,0,98087,1,0,0,4,0,0,0,1,0,1,5,5,1,5,5,5,5,5,5,5,3,1,3,3,3,2,2,2,1.145475013,-0.949851677,1.159663694,1,0,0,1,4,0,0,0,0,0,2,0,5,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1042,49,4,0.005401777,0,98252,0,1,0,1,1,0,0,0,0,3,5,4,3,4,3,3,2,5,5,5,2,1,3,2,3,4,2,2,0.921827241,0.123147267,-0.6882367,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1045,49,4,0.055252484,0,98043,0,1,0,2,0,1,0,0,0,2,1,1,2,3,1,3,2,5,5,3,2,2,1,2,2,2,2,2,0.051562046,-0.670052288,-0.630539948,1,1,0,0,2,0,0,0,0,0,2,0,5,0,0,0,0,1,2,0,0,0,0,0,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1046,49,4,0.036667177,0,98105,1,0,0,2,0,1,0,0,0,2,6,4,4,5,3,3,3,4,5,5,3,1,1,1,2,3,3,3,1.265556692,-0.301523947,0.110151689,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1048,49,2,0.049776315,0,98310,0,1,0,4,0,0,0,1,0,1,4,2,4,4,2,2,3,4,4,4,1,2,1,1,2,3,3,3,-0.169854832,0.050733827,-1.156756763,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,1,0,1,0,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
1053,49,4,0.03084506,0,98408,0,1,0,3,0,0,1,0,0,1,4,2,2,4,2,2,2,4,4,3,2,2,2,2,2,3,2,4,0.368437845,-0.597762987,0.156112181,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
1056,49,4,0.009345735,0,98311,0,1,0,2,0,1,0,0,0,2,5,3,3,4,3,2,2,5,5,4,2,1,2,2,2,1,2,3,0.235694754,0.316056845,-0.005668449,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,1,0,0,0,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1063,49,4,0.043122803,0,98223,0,1,0,1,1,0,0,0,0,1,6,2,3,3,3,3,3,5,5,5,2,2,2,2,2,4,2,4,-0.019816826,-0.139163507,0.214837197,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,0,0,1,2,0,1,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1066,49,4,0.017339166,0,98005,0,1,0,1,1,0,0,0,0,1,3,3,3,3,2,2,1,4,5,3,2,2,2,2,2,4,2,3,-0.472430283,-0.31834604,-0.890483697,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1068,49,3,0.057484759,0,98029,0,1,0,2,0,1,0,0,0,1,5,5,2,2,4,4,4,5,4,5,3,1,1,1,3,2,2,2,0.831877061,0.663667175,0.239326482,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,1,0,0,0,0,0,-9,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1088,3,4,0.104603156,1,85021,1,0,0,2,0,1,0,0,0,1,2,0,4,4,2,3,4,5,4,2,2,2,2,2,2,3,2,3,-0.145546862,-0.945444967,1.534089627,1,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,1,4
1090,3,4,0.003595946,1,85015,1,0,0,4,0,0,0,1,0,3,2,3,2,3,4,3,2,4,4,3,2,2,2,2,3,4,4,4,-0.26386174,-0.12016107,-0.56524685,1,1,0,0,2,0,1,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,3,0,0,0,1,4
1092,3,4,0.014739078,1,85210,1,0,0,1,1,0,0,0,0,2,1,0,2,4,3,2,2,3,4,3,2,1,1,1,3,3,3,3,-0.694895298,-0.977233886,-0.545339023,0,0,1,0,3,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
1105,3,2,0.10849021,1,85392,0,1,0,1,1,0,0,0,0,1,1,0,2,5,2,1,1,4,5,2,2,1,2,2,3,4,2,2,0.930421255,-1.834652327,0.614473053,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1116,49,2,0.009337822,0,98383,0,1,0,2,0,1,0,0,0,2,4,4,5,5,2,5,1,5,5,5,2,1,1,1,2,3,3,3,0.790078234,-0.669032489,0.448789977,1,0,1,0,3,0,0,0,0,0,2,0,5,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1118,49,4,0.011162241,0,98111,1,0,0,3,0,0,1,0,0,3,5,4,2,4,3,3,3,5,5,5,2,2,3,1,3,4,2,4,-0.836574733,0.140302003,-0.262474424,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,49,4,0.011278846,0,98115,1,0,0,2,0,1,0,0,0,1,4,3,4,4,2,4,2,3,5,5,2,1,2,2,3,2,2,2,0.69017653,-0.739713881,0.021472179,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,4
1124,49,2,0.02836033,0,98057,0,1,0,2,0,1,0,0,0,3,5,4,2,3,5,4,3,5,5,5,1,1,3,2,1,2,2,2,-0.244056775,-0.240386815,0.08869844,0,1,0,0,2,0,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1126,49,4,0.013194596,0,98580,0,1,0,3,0,0,1,0,0,2,4,5,1,5,5,1,5,5,5,5,2,1,2,2,3,3,2,2,-2.531463852,-1.6260071,1.935249982,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
1130,49,4,0.033727458,0,98337,1,0,0,1,1,0,0,0,0,1,5,4,2,4,4,5,1,1,5,1,2,2,3,2,2,4,2,2,0.401394476,-1.575930575,0.419616964,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,3,0,0,0,1,4
1136,49,4,0.022927102,0,98043,0,1,0,1,1,0,0,0,0,1,5,4,1,5,1,1,1,4,5,2,2,2,1,2,2,4,2,4,-0.285206008,-0.898780573,0.963877789,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,1,1,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
1138,49,4,0.073567491,0,98121,1,0,0,5,0,0,0,0,1,5,5,5,1,3,5,3,1,3,5,5,2,2,2,2,3,3,3,4,-1.898599456,-1.292899988,0.32641,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1143,49,2,0.020392845,0,98332,0,1,0,1,1,0,0,0,0,1,2,5,2,4,1,3,2,4,3,2,2,2,1,1,2,3,2,2,-0.219143098,-1.05372124,-0.101999023,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,1,0,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,0,2
1155,3,4,0.027979103,1,85225,1,0,0,1,1,0,0,0,0,1,2,1,3,3,4,4,3,4,5,3,2,1,1,1,3,3,3,2,-0.363393639,0.543772047,0.115531955,0,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1163,3,4,0.025251718,1,85225,1,0,0,3,0,0,1,0,0,2,2,2,2,4,4,4,4,4,4,4,2,2,3,2,3,2,2,2,-0.400998248,0.80494012,-0.931605641,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1166,3,4,0.015431304,1,85374,0,1,0,3,0,0,1,0,0,3,1,1,2,4,4,4,5,5,5,5,2,2,2,1,3,2,2,2,-0.553747856,-0.505156062,-0.910263088,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,1,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,0,1
1175,3,4,0.013528009,1,85258,0,1,0,2,0,1,0,0,0,2,2,3,1,5,3,2,2,4,5,4,2,1,1,2,3,3,2,4,-0.387610447,-0.63552646,-0.439290937,1,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1180,3,2,0.021497167,1,85379,0,1,0,3,0,0,1,0,0,2,2,0,4,2,2,5,1,5,3,3,2,1,2,2,2,3,2,2,-0.784862811,-0.044672515,0.253343023,1,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1184,3,4,0.013452707,1,85302,0,1,0,3,0,0,1,0,0,3,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,-0.5612507,-0.344264239,-0.410374472,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1204,3,4,0.061611699,1,85387,0,1,0,3,0,0,1,0,0,2,2,0,2,4,3,4,1,5,5,4,2,1,3,1,3,1,2,2,0.175697789,0.282784022,-0.062425419,0,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1235,3,4,0.058739116,0,85142,0,1,0,3,0,0,1,0,0,2,6,0,3,3,5,1,1,5,5,5,2,2,2,2,2,3,3,3,0.741430001,0.349767388,1.184236426,1,0,0,1,4,0,0,0,1,0,2,0,2,0,0,3,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1245,49,2,0.060119241,0,98101,1,0,0,4,0,0,0,1,0,2,4,4,4,4,3,4,4,3,4,3,3,2,2,3,2,3,2,3,-0.345858749,0.795686596,-0.22843528,0,1,0,0,2,0,1,1,0,0,1,1,1,0,0,3,0,0,3,1,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1249,49,2,0.066153567,0,98093,1,0,0,4,0,0,0,1,0,2,5,4,4,5,5,3,4,4,5,4,1,3,2,1,2,1,2,2,0.279040055,0.897826698,1.117494601,0,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,3,2,0.05714765,1,85375,0,1,0,1,1,0,0,0,0,2,1,1,4,4,1,3,1,5,2,2,2,1,3,2,3,3,2,3,-0.623321979,0.166258531,1.386229266,0,0,1,0,3,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1261,49,4,0.009491772,0,98122,1,0,0,1,1,0,0,0,0,2,4,4,3,4,2,1,1,4,5,3,2,2,1,1,3,3,2,4,0.563845351,0.356731294,-1.215534464,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,1,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
1265,49,4,0.023491575,0,98443,0,1,0,1,1,0,0,0,0,1,5,5,2,4,3,4,2,5,5,4,2,2,1,1,3,1,2,4,0.817676595,0.030844776,-0.182684556,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1266,49,4,0.014691896,0,98020,0,1,0,1,1,0,0,0,0,1,5,1,4,4,2,2,1,5,5,5,3,2,3,1,2,1,2,2,1.135872621,-1.000052315,1.22655728,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,0,0,1,0,3
1267,49,4,0.016439288,0,98146,0,1,0,3,0,0,1,0,0,3,4,4,3,3,3,4,4,2,4,4,2,2,2,2,2,2,2,2,0.280025459,0.315988514,-0.386947063,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,1,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,1,0,3
1284,49,2,0.027967148,0,98499,0,1,0,3,0,0,1,0,0,3,4,4,1,5,5,2,2,4,5,4,2,2,2,2,2,3,3,2,0.023453699,-1.489145134,-1.327182877,1,1,0,0,2,1,1,0,1,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1285,49,4,0.096456418,0,98445,0,1,0,3,0,0,1,0,0,2,3,2,3,4,4,4,3,4,4,4,1,3,3,3,3,2,2,2,0.105756175,0.681561868,-0.068754543,1,0,0,1,4,1,1,0,0,1,2,0,3,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1291,49,4,0.023987658,0,98270,0,1,0,1,1,0,0,0,0,1,5,1,4,5,1,1,1,1,5,1,2,2,2,2,2,4,2,4,1.072315704,-1.44078888,-1.614967631,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1299,49,4,0.09942988,0,98125,1,0,0,2,0,1,0,0,0,2,4,2,2,4,4,4,3,4,4,4,2,2,2,2,3,3,3,3,-0.093771623,0.780141601,-0.12354174,0,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,4
1305,49,2,0.035814019,0,98003,1,0,0,3,0,0,1,0,0,3,1,5,2,4,1,3,2,3,4,3,2,2,2,2,2,3,3,3,-0.125647286,0.136778609,0.151074733,1,0,0,1,4,1,1,0,0,1,2,0,3,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1307,49,2,0.043434539,0,98101,1,0,0,1,1,0,0,0,0,3,4,3,4,2,3,4,2,4,3,4,3,2,2,3,3,3,3,2,0.23455301,0.188875846,-0.203158085,0,0,0,0,1,0,0,0,0,1,2,0,3,1,0,1,0,0,3,0,0,0,1,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1308,49,2,0.045123432,0,98117,1,0,0,3,0,0,1,0,0,2,4,2,4,3,4,4,4,4,3,4,3,2,2,3,2,3,2,3,-1.019151667,1.258123736,0.643633328,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1310,49,1,0.01577024,0,98252,0,1,0,4,0,0,0,1,0,2,5,4,5,4,4,4,3,4,3,4,3,2,3,3,2,3,2,3,0.642513362,1.058818149,-1.047066065,0,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1320,49,4,0.009994987,0,98031,0,1,0,4,0,0,0,1,0,1,5,5,3,1,2,2,1,3,4,4,2,2,2,3,2,2,2,2,-0.447400465,-0.259070216,1.077883905,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
1321,49,4,0.061857812,0,98104,1,0,0,2,0,1,0,0,0,2,5,5,1,1,5,1,5,5,5,5,1,1,2,1,3,3,3,3,-0.433205768,-1.028348039,1.166345612,0,0,0,1,4,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1325,49,4,0.467258854,0,98102,1,0,0,2,0,1,0,0,0,1,5,3,2,4,4,4,4,5,5,3,1,1,1,3,3,3,2,3,0.271615519,-0.167728163,-0.210923405,0,0,0,1,4,0,1,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
1327,49,4,0.065542553,0,98037,1,0,0,2,0,1,0,0,0,2,4,4,4,3,1,2,1,4,5,3,2,1,2,2,3,3,2,4,0.515940365,0.896103968,-0.410290072,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,1,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3
1330,3,4,0.012233898,1,85283,1,0,0,2,0,1,0,0,0,2,1,2,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,-0.72289923,0.747305313,-0.013598017,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1331,3,4,0.05297854,1,85308,0,1,0,3,0,0,1,0,0,1,1,0,5,1,1,1,1,1,5,1,2,2,2,2,2,4,3,4,-0.062520945,-1.058812809,1.067574442,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1334,49,4,0.032426051,0,98011,0,1,0,3,0,0,1,0,0,3,4,5,1,3,4,2,5,5,5,5,2,2,2,3,3,2,2,2,0.679151576,-2.047359907,-0.064276264,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,1,0,0,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1337,3,4,0.009936906,1,85013,1,0,0,1,1,0,0,0,0,1,1,0,5,5,1,1,1,3,4,3,2,2,2,2,3,4,3,4,1.426791014,-1.583421678,0.714037353,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1367,3,4,0.005977286,1,85008,1,0,0,4,0,0,0,1,0,2,1,0,3,4,1,1,1,4,1,2,2,2,2,2,3,4,2,2,-0.313600519,0.186198472,1.148100241,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,0,1,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1380,3,2,0.037473573,1,85331,0,1,0,3,0,0,1,0,0,3,1,2,1,5,2,4,1,3,5,5,2,1,1,1,3,2,2,2,1.073374505,0.380081683,0.396277495,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,0,1
1383,3,4,0.012324661,1,85008,1,0,0,2,0,1,0,0,0,2,2,1,2,4,4,2,4,5,5,5,2,2,2,2,3,2,2,2,0.595365872,0.138717407,0.20333327,1,0,1,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,0,3
1385,49,4,0.001802653,0,98057,0,1,0,4,0,0,0,1,0,2,5,5,3,5,4,3,2,5,5,3,2,2,2,2,2,3,3,4,1.209641538,-0.178583706,0.91081093,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1387,3,2,0.133713546,1,85326,0,1,0,3,0,0,1,0,0,2,1,1,5,3,1,1,1,3,4,3,2,2,2,2,2,4,2,3,0.250168255,0.136518132,-0.328522558,0,0,0,1,4,0,0,0,0,0,2,0,5,0,1,2,0,1,2,0,0,0,1,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1388,3,4,0.046548668,1,85351,0,1,0,1,1,0,0,0,0,1,2,3,3,5,4,3,4,5,4,4,2,2,2,2,2,3,3,2,0.336633921,-0.544877154,-0.710349034,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,2
1405,3,4,0.002914168,1,85253,0,1,0,3,0,0,1,0,0,2,1,3,3,3,3,3,3,3,4,4,2,2,2,2,2,3,3,3,0.632699468,0.079001729,-0.66263066,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,1,-9,0,1,0,0,1,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,0,2
